event_id,category_id,name,time
241093174,22,Gathering with Archangel Michael with Trance Channel Jeff Fasano,2017-07-01 16:30:00
pnbgflywjbmc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-06-29 23:30:00
240807464,22,Introduction To Energy Healing,2017-06-28 23:30:00
240824756,22,FREE Yoga & Farmers Market Monday Nights,2017-06-26 23:00:00
240807279,22,Usui Tibetan Reiki Master Teacher Level 3 Class & Attunement - 9 LMT CEU's,2017-06-25 14:00:00
240807427,22,Reconnective Healing Experiential Introduction w/ Jeff Crawford,2017-06-24 16:00:00
240671495,22,"Hearing Your Guides, Angels and Helpers",2017-06-23 23:30:00
240961945,22,Summer Solstice Sound Healing Concert,2017-06-23 00:00:00
pnbgflywjbdc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-06-22 23:30:00
cwpwzmywjbcc,22,Cosmic Connections-Synchronizing with the Stars for a Stellar Life,2017-06-22 00:00:00
hctshlywjbzb,22,"Reiki & Sound with Robin - Franklin, TN",2017-06-19 23:30:00
240824558,22,FREE Yoga & Farmers Market Monday Nights,2017-06-19 23:00:00
cxchpmywjbwb,22,Sacred Sound Immersion Meditation,2017-06-17 23:30:00
cpqkpmywjbwb,22,Spirit Cafe: The Ascension with L'Vereese Britten,2017-06-17 23:00:00
240508270,22,Living Your Truth: Get Clarity and Live your Purpose Now!,2017-06-17 18:00:00
240608053,22,Wicked Awesome Fortune Telly Show!,2017-06-17 00:00:00
pnbgflywjbtb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-06-15 23:30:00
cwpwzmywjbsb,22,Cosmic Connections-Synchronizing with the Stars for a Stellar Life,2017-06-15 00:00:00
240184465,22,How To Make Changes That Stick (FREE),2017-06-15 00:00:00
hctshlywjbqb,22,"Reiki & Sound with Robin - Franklin, TN",2017-06-12 23:30:00
240667235,22,FREE Yoga & Farmers Market Monday Nights,2017-06-12 23:00:00
240681052,22,Sacred Sound Immersion Meditation,2017-06-10 23:30:00
240160167,22,Reiki 2 Certification - Usui Shiki Ryoho - Usui Method of Natural Healing,2017-06-10 18:00:00
240593345,22,Usui Tibetan Reiki Levels 1&2 Certification Class & Attunements - 12 LMT CEU's,2017-06-10 15:00:00
pnbgflywjblb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-06-08 23:30:00
240607930,22,Mediumship and Intuitive Development Circle,2017-06-08 00:15:00
hctshlywjbhb,22,"Reiki & Sound with Robin - Franklin, TN",2017-06-05 23:30:00
240389434,22,Gathering with Archangel Michael with Trance Channel Jeff Fasano,2017-06-03 16:30:00
238651847,22,Learn to Read the Tarot & Receive a Psychic Attunement!,2017-06-03 14:00:00
240378535,22,Mediumship Group Reading,2017-06-02 00:00:00
pnbgflywjbcb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-06-01 23:30:00
cwpwzmywhbpc,22,Cosmic Connections-Synchronizing with the Stars for a Stellar Life,2017-06-01 00:00:00
240395195,22,Develop Your Intuition: Practice Time!,2017-05-31 23:45:00
hctshlywhbmc,22,"Reiki & Sound with Robin - Franklin, TN",2017-05-29 23:30:00
240173011,22,Free preview Shamanic Priest~ess Process,2017-05-28 19:00:00
238651650,22,Psychic Defense Class,2017-05-27 15:00:00
240157002,22,New Moon Sound Healing Journey with Gongs and Bowls,2017-05-27 00:00:00
pnbgflywhbhc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-05-25 23:30:00
cwpwzmywhbgc,22,Cosmic Connections-Synchronizing with the Stars for a Stellar Life,2017-05-25 00:00:00
hzkttlywhbgc,22,Develop Your Intuition: Practice Time!,2017-05-24 23:45:00
hctshlywhbdc,22,"Reiki & Sound with Robin - Franklin, TN",2017-05-22 23:30:00
